BEGIN_BASIC_INFO
  52  # num of atoms 
 156  # num of modes 
END_BASIC_INFO

BEGIN_DATA_1
  BEGIN_DESCRIPTION_1

                 2         2
                  2       2
                   2     2
               D2  |2   2
                   | 222
                   |  |
                   |  |
              1    |  | 1
               1   |  |1
                1  |  1
                 1 | 1  D1
                  111

    Q1 = S(1 <- 2) Q2 + D2
    Q1 = S2        Q2 + D2
    Q2 = S(2 <- 1) Q1 + D1
    Q2 = S1        Q1 + D1
    n              : index of mode, from 1 to 3n
    m              : index of mode, from 1 to 3n-6
    sym            : irreducible representation
    freq   (cm-1 ) : frequency
    D      (a.u. ) : displacement of mode
    delta  ( 1   ) : dimensionless projection, delta = D * SQRT(freq)
    HR     ( 1   ) : Huang-Rhys factor, HR = 0.5 * delta^2 
    lam    (cm-1 ) : reorganization energy, lam = HR * \hbar * freq
	ZPE1 (Ground ) :   93747.9785898 cm-1
	ZPE2 (Excited) :   93273.3384473 cm-1
	ZPE2 - ZPE1    :     -474.6401425 cm-1
  END_DESCRIPTION_1
  BEGIN_OUTPUT_1
============================================================================================================================================
   n   m sym1   freq1         D1     delta1        HR1       lam1 sym2   freq2         D2     delta2        HR2       lam2    g    e   S(g,e)
 131 125    A 1684.63     0.00009   0.00001    0.00000       0.00    A 1653.32    -0.00011   0.00001    0.00000       0.00  131  131   0.2799
 132 126    A 1685.00    -0.28380   0.02499    0.00031       0.53    A 1675.16     0.00048   0.00004    0.00000       0.00  132  132   0.0001
 133 127    A 1709.59     0.00021   0.00002    0.00000       0.00    A 1677.10     0.42404   0.03725    0.00069       1.16  133  133  -0.0000
 134 128    A 1724.19     0.00003   0.00000    0.00000       0.00    A 1680.05    -0.00013   0.00001    0.00000       0.00  134  134   0.6424
 135 129    A 2337.98     2.95362   0.30637    0.04693     109.72    A 2245.25     0.00151   0.00015    0.00000       0.00  135  135  -0.0007
 136 130    A 2343.28    -0.00018   0.00002    0.00000       0.00    A 2247.65     3.40532   0.34633    0.05997     134.80  136  136   0.0007
 137 131    A 3207.00    -0.00004   0.00000    0.00000       0.00    A 3208.20     0.00003   0.00000    0.00000       0.00  137  137   0.9982
 138 132    A 3210.16    -0.01533   0.00186    0.00000       0.01    A 3211.14     0.02644   0.00321    0.00001       0.02  138  138   0.9982
 139 133    A 3215.46    -0.00011   0.00001    0.00000       0.00    A 3215.43    -0.00005   0.00001    0.00000       0.00  139  139  -0.9996
 140 134    A 3215.47    -0.01648   0.00200    0.00000       0.01    A 3215.44     0.01533   0.00186    0.00000       0.01  140  140   0.9997
 141 135    A 3218.51     0.00009   0.00001    0.00000       0.00    A 3218.85    -0.00003   0.00000    0.00000       0.00  141  141   0.6239
 142 136    A 3221.76    -0.00000   0.00000    0.00000       0.00    A 3219.05    -0.00008   0.00001    0.00000       0.00  142  142   0.6251
 143 137    A 3222.67     0.00074   0.00009    0.00000       0.00    A 3220.52    -0.00894   0.00109    0.00000       0.00  143  143  -0.1621
 144 138    A 3222.68     0.00001   0.00000    0.00000       0.00    A 3222.42     0.00030   0.00004    0.00000       0.00  144  144   0.9980
 145 139    A 3223.48    -0.00991   0.00121    0.00000       0.00    A 3222.43     0.00044   0.00005    0.00000       0.00  145  145  -0.1619
 146 140    A 3225.57     0.00006   0.00001    0.00000       0.00    A 3226.52     0.00005   0.00001    0.00000       0.00  146  146  -0.9975
 147 141    A 3227.74    -0.03866   0.00471    0.00001       0.04    A 3227.01     0.04499   0.00548    0.00002       0.05  147  147   0.9788
 148 142    A 3229.62     0.00003   0.00000    0.00000       0.00    A 3229.88    -0.00015   0.00002    0.00000       0.00  148  148  -0.9997
 149 143    A 3229.63     0.01471   0.00179    0.00000       0.01    A 3229.89    -0.01011   0.00123    0.00000       0.00  149  149   0.9993
 150 144    A 3236.88    -0.00020   0.00002    0.00000       0.00    A 3234.85     0.00010   0.00001    0.00000       0.00  150  150  -0.0184
 151 145    A 3236.88     0.00108   0.00013    0.00000       0.00    A 3236.85    -0.00391   0.00048    0.00000       0.00  151  151   0.0994
 152 146    A 3237.72     0.03540   0.00432    0.00001       0.03    A 3236.85     0.00079   0.00010    0.00000       0.00  152  152   0.0048
 153 147    A 3238.35    -0.00004   0.00000    0.00000       0.00    A 3239.74    -0.01026   0.00125    0.00000       0.00  153  153   0.0000
 154 148    A 3243.36    -0.00019   0.00002    0.00000       0.00    A 3243.25     0.00017   0.00002    0.00000       0.00  154  154   0.9998
 155 149    A 3243.41     0.00976   0.00119    0.00000       0.00    A 3243.29     0.01472   0.00180    0.00000       0.01  155  155  -0.9801
 156 150    A 3244.35    -0.04233   0.00517    0.00001       0.04    A 3243.74    -0.01569   0.00192    0.00000       0.01  156  156   0.9605
--------------------------------------------------------------------------------------------------------------------------------------------
  Total reorganization energy      (cm-1):         1764.342554       1813.814300
--------------------------------------------------------------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------------------------------------------------------------
  END_OUTPUT_1
END_DATA_1

BEGIN_DUSH_1     Delta DUSH =   #######
  BEGIN_DUSH_INFORMATION1
  Qg = S(g,e) Qe + Dg
  END_DUSH_INFORMATION1
  BEGIN_DUSH_DATA_1
--------------------------------------------------------------------------------------------------------------------------------------------
  MODE       1
 1.000000e+00  1.000000e+00  8.038003e-01 -1.000000e+00 -1.000000e+00  1.000000e+00 -1.000000e+00  1.000000e+00  1.000000e+00 -9.324615e-01
-1.000000e+00  1.000000e+00 -1.000000e+00 -1.000000e+00  5.664440e-01 -1.000000e+00  1.000000e+00  2.480464e-01 -1.000000e+00  1.000000e+00
